"p_rgh","p","T","p_rghGrad:0","p_rghGrad:1","p_rghGrad:2","U:0","U:1","U:2","TGrad:0","TGrad:1","TGrad:2","pGrad:0","pGrad:1","pGrad:2","Points:0","Points:1","Points:2"
0.01591534167528152,0.1122834533452988,274.6649780273438,0.0006042490131221712,6.956605648156255e-05,2.196973310444018e-16,5.319819319993258e-05,0.0003720595850609243,2.282276287905451e-27,-142.5120239257812,-33.15542602539062,3.791977582628947e-12,0.0007794544217176735,-9.81014347076416,1.579785268056235e-15,0.01993299648165703,-0.009829865768551826,0
0.01591584645211697,0.09929635375738144,274.5183715820312,0.0006576647865585983,0.0001431534619769081,3.378650843359466e-16,-8.334846825164277e-06,0.0004241008136887103,2.4461523187224e-27,-161.9101409912109,-60.63565826416016,5.828908102717412e-12,0.0007375205750577152,-9.810003280639648,2.353148371756039e-15,0.02053322270512581,-0.008505139499902725,0
0.01591646298766136,0.08595229685306549,274.3198852539062,0.000735238310880959,0.0001531124144094065,-5.673130880922255e-17,-0.000102215948572848,0.0004994819755665958,1.444463443508965e-27,-189.3468322753906,-86.88484954833984,-9.783620311468177e-13,0.0006956075667403638,-9.809898376464844,-2.237732668214793e-16,0.02104552276432514,-0.007143991999328136,0
0.01591695658862591,0.07230834662914276,274.0997924804688,0.0007582796970382333,4.730756245407974e-06,-1.987778084486633e-18,-0.0001671727804932743,0.0005661842878907919,2.126904778536927e-27,-208.6829376220703,-77.28284454345703,-3.414461977589191e-14,0.0006464618491008878,-9.809834480285645,9.586622116892503e-19,0.02146770060062408,-0.005752253346145153,0
0.01591704040765762,0.05842289701104164,273.9441223144531,0.0004580617533065379,-0.0001103039394365624,-1.984631903026787e-18,-0.0001038330883602612,0.0005734997685067356,2.540433908033943e-27,-202.4888153076172,-41.08913421630859,-3.434697933512275e-14,0.0003762468695640564,-9.80970287322998,9.586514417976748e-17,0.02179795317351818,-0.004335882607847452,0
0.01591691002249718,0.04435556009411812,273.8672180175781,0.0001804602070478722,-0.0001063267554854974,3.351698453501181e-17,-3.335891960887238e-05,0.0005337105831131339,1.109425781488445e-27,-186.0484161376953,-21.43388938903809,5.773010108151011e-13,0.0001542743848403916,-9.809545516967773,8.102236085190376e-17,0.02203486114740372,-0.00290094455704093,0
0.01591678708791733,0.03016658872365952,273.8126220703125,0.00014039984671399,-9.930868691299111e-05,6.206690831032029e-17,-7.128972356440499e-05,0.0004837283922825009,3.424315959665144e-28,-174.4253082275391,-33.91782760620117,1.067978171176431e-12,0.0001357643050141633,-9.809464454650879,1.722072244816176e-16,0.02217741496860981,-0.001453584525734186,0
0.0159141831099987,0.1441909521818161,274.9497680664062,-5.25249051861465e-05,0.0002046540175797418,1.268349914545448e-16,-8.769923442741856e-05,-0.0001185550499940291,3.055516745719515e-28,9.561495780944824,-38.19260787963867,2.191852819036222e-12,-0.001385700539685786,-9.811030387878418,1.128090972889249e-15,0.01491932105273008,-0.01308389380574226,0
0.01591435447335243,0.1343497186899185,274.9175109863281,-2.231742655567359e-05,0.0002074218355119228,1.469856935114877e-16,-7.379551971098408e-05,-9.198998304782435e-05,7.169150958465045e-28,3.589499950408936,-40.72696304321289,2.537869003491067e-12,-0.001351827057078481,-9.811190605163574,1.08625527447053e-15,0.01574310474097729,-0.01208010967820883,0
0.01591457612812519,0.1240013390779495,274.8717346191406,3.143232606817037e-05,0.0002004016860155389,-9.512483738386722e-17,-6.00181010668166e-05,-5.519170372281224e-05,4.643702133549395e-28,-9.637752532958984,-43.2190055847168,-1.644207014463162e-12,-0.001298906980082393,-9.811347007751465,-8.670795701378495e-16,0.01649947464466095,-0.01102459710091352,0
0.01591483503580093,0.1131901368498802,274.8098754882812,8.242989861173555e-05,0.0001919414644362405,-3.891076394992959e-16,-4.769962470163591e-05,-1.637183413549792e-05,-1.960545285130815e-28,-25.11503982543945,-46.07315444946289,-6.717191473187833e-12,-0.001227867789566517,-9.811491966247559,-2.574269499010327e-15,0.01718519069254398,-0.009921874850988388,0
